epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,585.931,0.48314,0.3872,0.90678,0.78062,0.75087,0.79763,0.57639,0.97113,0.97198,1.1911,0.0005075,0.0005075,0.0005075
62,594.122,0.50731,0.38784,0.91218,0.79689,0.73362,0.8003,0.58207,0.96573,0.90085,1.19467,0.000495125,0.000495125,0.000495125
63,602.984,0.51545,0.38373,0.91288,0.79521,0.74197,0.8055,0.58345,0.96974,0.86715,1.17365,0.00048275,0.00048275,0.00048275
64,611.832,0.49822,0.37955,0.9058,0.79727,0.73296,0.79163,0.56704,0.97771,0.9345,1.17987,0.000470375,0.000470375,0.000470375
65,620.135,0.47641,0.3477,0.88884,0.82262,0.69539,0.78597,0.57423,0.98393,0.99622,1.19162,0.000458,0.000458,0.000458
66,629.083,0.48125,0.36373,0.89564,0.77596,0.74639,0.7921,0.57017,1.01109,1.03829,1.22008,0.000445625,0.000445625,0.000445625
67,637.853,0.48055,0.36637,0.91416,0.75776,0.74011,0.79685,0.57359,1.01393,0.96055,1.24371,0.00043325,0.00043325,0.00043325
68,646.257,0.451,0.35175,0.88248,0.86534,0.70355,0.81921,0.60007,0.99318,0.91877,1.21684,0.000420875,0.000420875,0.000420875
69,655.248,0.49165,0.37014,0.91311,0.81674,0.76821,0.82548,0.59648,1.00889,0.86066,1.21879,0.0004085,0.0004085,0.0004085
70,663.941,0.48437,0.36801,0.91085,0.82227,0.77249,0.82847,0.61125,0.92026,0.82547,1.17386,0.000396125,0.000396125,0.000396125
71,674.425,0.46277,0.3513,0.89614,0.87003,0.73294,0.82167,0.60664,0.91713,0.86754,1.17785,0.00038375,0.00038375,0.00038375
72,683.547,0.45652,0.35895,0.8986,0.83372,0.73535,0.8163,0.60136,0.98254,0.89165,1.21622,0.000371375,0.000371375,0.000371375
73,692.565,0.4704,0.35001,0.87309,0.80522,0.74904,0.80969,0.60297,0.97239,0.87798,1.20823,0.000359,0.000359,0.000359
74,700.737,0.44641,0.36333,0.90671,0.78088,0.74944,0.80873,0.59046,0.97806,0.88857,1.20177,0.000346625,0.000346625,0.000346625
75,709.81,0.46134,0.35404,0.88486,0.7673,0.76491,0.81835,0.60519,0.94425,0.92152,1.17858,0.00033425,0.00033425,0.00033425
76,718.848,0.47644,0.34589,0.89569,0.80476,0.74567,0.81339,0.59828,0.93094,0.89281,1.16204,0.000321875,0.000321875,0.000321875
77,726.945,0.45962,0.35898,0.88635,0.83294,0.70885,0.80172,0.58838,0.93217,0.87265,1.16885,0.0003095,0.0003095,0.0003095
78,735.853,0.46342,0.34678,0.89381,0.8387,0.69138,0.80005,0.59749,0.93814,0.90149,1.17627,0.000297125,0.000297125,0.000297125
79,744.638,0.43465,0.34027,0.88545,0.78578,0.71852,0.80508,0.60359,0.92535,0.8811,1.15643,0.00028475,0.00028475,0.00028475
80,752.833,0.43584,0.33402,0.90085,0.80999,0.73722,0.81455,0.60887,0.92061,0.85398,1.16803,0.000272375,0.000272375,0.000272375
81,761.665,0.44588,0.34721,0.89074,0.82683,0.73183,0.82604,0.61612,0.92551,0.79723,1.18576,0.00026,0.00026,0.00026
82,770.678,0.42189,0.33122,0.88828,0.88318,0.72076,0.83546,0.61088,0.92662,0.79698,1.18465,0.000247625,0.000247625,0.000247625
83,779.075,0.44143,0.35049,0.87707,0.86614,0.73906,0.83467,0.6219,0.92531,0.80869,1.1817,0.00023525,0.00023525,0.00023525
84,788.34,0.41738,0.31474,0.87521,0.86523,0.72455,0.8296,0.62175,0.93545,0.80921,1.18761,0.000222875,0.000222875,0.000222875
85,797.153,0.4226,0.32157,0.87257,0.84835,0.71864,0.82619,0.61978,0.94444,0.8464,1.19386,0.0002105,0.0002105,0.0002105
86,805.601,0.42052,0.32012,0.87482,0.84729,0.69462,0.82638,0.6253,0.92561,0.86573,1.18992,0.000198125,0.000198125,0.000198125
87,814.806,0.4398,0.33355,0.88624,0.82226,0.72368,0.82209,0.61334,0.96406,0.90897,1.22354,0.00018575,0.00018575,0.00018575
88,823.375,0.43751,0.32996,0.88848,0.81709,0.71654,0.81656,0.61381,0.96382,0.90246,1.21984,0.000173375,0.000173375,0.000173375
89,831.938,0.42415,0.32794,0.87654,0.74035,0.80202,0.81393,0.61532,0.93241,0.89669,1.19838,0.000161,0.000161,0.000161
90,841.033,0.40071,0.32901,0.88298,0.76147,0.78091,0.81873,0.61623,0.92267,0.90753,1.19072,0.000148625,0.000148625,0.000148625
91,850.076,0.39331,0.29825,0.85028,0.75586,0.78351,0.8206,0.61206,0.93516,0.84519,1.20023,0.00013625,0.00013625,0.00013625
92,858.326,0.38283,0.28054,0.83906,0.78227,0.75438,0.81767,0.60086,0.95815,0.83652,1.21535,0.000123875,0.000123875,0.000123875
93,867.431,0.38194,0.27747,0.8283,0.7688,0.76133,0.81968,0.59238,0.96613,0.8502,1.2185,0.0001115,0.0001115,0.0001115
94,875.793,0.36334,0.26555,0.82179,0.79103,0.74813,0.82088,0.60396,0.94045,0.83403,1.19081,9.9125e-05,9.9125e-05,9.9125e-05
95,884.302,0.36078,0.26728,0.82119,0.80907,0.7273,0.82227,0.60931,0.90701,0.81195,1.17672,8.675e-05,8.675e-05,8.675e-05
96,892.989,0.35524,0.25359,0.82356,0.80525,0.73976,0.82633,0.611,0.90134,0.81384,1.17258,7.4375e-05,7.4375e-05,7.4375e-05
97,900.862,0.34439,0.2493,0.82046,0.80344,0.7334,0.82436,0.6109,0.90044,0.82132,1.17455,6.2e-05,6.2e-05,6.2e-05
98,909.662,0.3435,0.27466,0.83183,0.80283,0.74283,0.82458,0.61552,0.90021,0.82385,1.17883,4.9625e-05,4.9625e-05,4.9625e-05
99,918.515,0.36174,0.28458,0.83319,0.78273,0.76105,0.82348,0.61622,0.89912,0.82112,1.18062,3.725e-05,3.725e-05,3.725e-05
100,926.322,0.33654,0.24678,0.83734,0.80933,0.74606,0.82479,0.61497,0.89829,0.83084,1.17741,2.4875e-05,2.4875e-05,2.4875e-05
